"","Rank","Name","Growth_Rate","Revenue","Industry","Employees","City","State","state","city","lon","lat"
"1",1,"Fuhu",421.48,117900000,"Consumer Products & Services",104,"El Segundo","CA","CA","El Segundo",-118.4164652,33.9191799
"2",2,"FederalConference.com",248.31,49600000,"Government Services",51,"Dumfries","VA","VA","Dumfries",-3.60512,55.070859
"3",3,"The HCI Group",245.45,25500000,"Health",132,"Jacksonville","FL","FL","Jacksonville",-81.655651,30.3321838
"4",4,"Bridger",233.08,1.9e+09,"Energy",50,"Addison","TX","TX","Addison",-96.8291685,32.96179
"5",5,"DataXu",213.37,8.7e+07,"Advertising & Marketing",220,"Boston","MA","MA","Boston",-71.0588801,42.3600825
"6",6,"MileStone Community Builders",179.38,45700000,"Real Estate",63,"Austin","TX","TX","Austin",-97.7430608,30.267153
"7",7,"Value Payment Systems",174.04,25500000,"Financial Services",27,"Nashville","TN","TN","Nashville",-86.7816016,36.1626638
"8",8,"Emerge Digital Group",170.64,23900000,"Advertising & Marketing",75,"San Francisco","CA","CA","San Francisco",-122.4194155,37.7749295
"9",9,"Goal Zero",169.81,33100000,"Consumer Products & Services",97,"Bluffdale","UT","UT","Bluffdale",-111.9388244,40.4896711
"10",10,"Yagoozon",166.89,18600000,"Retail",15,"Warwick","RI","RI","Warwick",-74.3822058,41.2638494
"11",11,"OBXtek",164.33,29600000,"Government Services",149,"Tysons Corner","VA","VA","Tysons Corner",-77.2310925,38.9187222
"12",12,"AdRoll",150.65,34100000,"Advertising & Marketing",165,"San Francisco","CA","CA","San Francisco",-122.4194155,37.7749295
"13",13,"uBreakiFix",141.02,1.7e+07,"Retail",250,"Orlando","FL","FL","Orlando",-81.3792365,28.5383355
"14",14,"Sparc",128.63,21100000,"Software",160,"Charleston","SC","SC","Charleston",-79.9310512,32.7764749
"15",15,"LivingSocial",123.33,5.36e+08,"Consumer Products & Services",4100,"Washington","DC","DC","Washington",-120.7401385,47.7510741
"16",16,"Amped Wireless",110.68,14300000,"Computer Hardware",26,"Chino","CA","CA","Chino",-117.688944,34.0122346
"17",17,"Intelligent Audit",105.73,1.45e+08,"Logistics & Transportation",15,"Rochelle Park","NJ","NJ","Rochelle Park",-74.0751273,40.9073328
"18",18,"Integrity Funding",104.62,11100000,"Financial Services",11,"Sarasota","FL","FL","Sarasota",-82.5306527,27.3364347
"19",19,"Vertex Body Sciences",100.1,11800000,"Food & Beverage",51,"columbus","OH","OH","columbus",-82.9987942,39.9611755
"20",20,"BlueKai",92.45,26800000,"Advertising & Marketing",107,"Cupertino","CA","CA","Cupertino",-122.0321823,37.3229978
"21",21,"Level 11",90.44,9600000,"IT Services",30,"Seattle","WA","WA","Seattle",-122.3320708,47.6062095
"22",22,"Patient Conversation Media",87.82,9800000,"Health",41,"Austin","TX","TX","Austin",-97.7430608,30.267153
"23",23,"Wingspan Portfolio Advisors",87.69,7.7e+07,"Financial Services",1016,"Carrollton","TX","TX","Carrollton",-96.8899636,32.9756415
"24",24,"Vets First Choice",85.85,14600000,"Business Products & Services",74,"Portland","ME","ME","Portland",-122.6750261,45.5051064
"25",25,"Timberhorn",85.16,13800000,"IT Services",150,"Frisco","TX","TX","Frisco",-96.8236116,33.1506744
"26",26,"BeenVerified",84.43,13700000,"Consumer Products & Services",17,"New York","NY","NY","New York",-74.0059728,40.7127753
"27",27,"Trada",81.01,12600000,"Advertising & Marketing",75,"Boulder","CO","CO","Boulder",-105.2705456,40.0149856
"28",28,"Kony",77.86,51100000,"Software",1100,"Orlando","FL","FL","Orlando",-81.3792365,28.5383355
"29",29,"OneSource Virtual",73.53,23500000,"IT Services",260,"Irving","TX","TX","Irving",-96.9488945,32.8140177
"30",30,"Sailthru",73.22,8100000,"Advertising & Marketing",79,"New York","NY","NY","New York",-74.0059728,40.7127753
"31",31,"Innovolt",72.48,8e+06,"Business Products & Services",30,"Atlanta","GA","GA","Atlanta",-84.3879824,33.7489954
"32",32,"Provider Power",72.24,56800000,"Energy",50,"Auburn","ME","ME","Auburn",-85.4807825,32.6098566
"33",33,"Zurple",71.12,7700000,"Software",32,"Carlsbad","CA","CA","Carlsbad",-117.3505939,33.1580933
"34",34,"US Logistics",70.87,48300000,"Logistics & Transportation",10,"Cincinnati","OH","OH","Cincinnati",-84.5120196,39.1031182
"35",35,"McAfee Institute",70.63,1.5e+07,"Education",15,"Peoria","IL","IL","Peoria",-89.5889864,40.6936488
"36",36,"Now Communications",67.64,7e+06,"Consumer Products & Services",110,"Tempe","AZ","AZ","Tempe",-111.9400054,33.4255104
"37",37,"YellowHammer",67.4,1.8e+07,"Advertising & Marketing",27,"New York","NY","NY","New York",-74.0059728,40.7127753
"38",38,"Conductor",67.02,7100000,"Advertising & Marketing",89,"New York","NY","NY","New York",-74.0059728,40.7127753
"39",39,"Intellect Resources",65.54,3e+07,"Health",675,"Greensboro","NC","NC","Greensboro",-79.7919754,36.0726354
"40",40,"Phunware",65.27,8200000,"Software",92,"Austin","TX","TX","Austin",-97.7430608,30.267153
"41",41,"NSR Solutions",63.92,10100000,"Government Services",252,"Rockville","MD","MD","Rockville",-77.1527578,39.0839973
"42",42,"Pangea Properties",62.18,28300000,"Real Estate",264,"Chicago","IL","IL","Chicago",-87.6297982,41.8781136
"43",43,"Field Nation",60.31,27700000,"Business Products & Services",15,"Minneapolis","MN","MN","Minneapolis",-93.2650108,44.977753
"44",44,"The Joint",59.62,7400000,"Health",14,"Scottsdale","AZ","AZ","Scottsdale",-111.9260519,33.4941704
"45",45,"Silver Spring Networks",58.67,196700000,"Energy",566,"Redwood City","CA","CA","Redwood City",-122.2363548,37.4852152
"46",46,"ThinkLite",55.25,8500000,"Energy",14,"Natick","MA","MA","Natick",-71.3468091,42.2775281
"47",47,"29 Prime",54.43,13800000,"Advertising & Marketing",152,"Irvine","CA","CA","Irvine",-117.8265049,33.6845673
"48",48,"Cinium Financial Services",53.65,5900000,"Financial Services",32,"Rock Hill","NY","NY","Rock Hill",-81.0250784,34.9248667
"49",49,"Solar Alliance of America",53.37,17300000,"Energy",4,"San Diego","CA","CA","San Diego",-117.1610838,32.715738
"50",50,"Saratoga Roofing & Construction",53.28,29300000,"Construction",106,"Oklahoma City","OK","OK","Oklahoma City",-97.5164276,35.4675602
"51",51,"Madwire Media",52.54,6900000,"Advertising & Marketing",94,"Loveland","CO","CO","Loveland",-105.0749801,40.3977612
